Fecha Local,Fecha UTC,Latitud,Longitud,Profundidad [Km],Magnitud,Referencia Geográfica
2022-01-29 20:05:58,2022-01-29 23:05:58,-24.232,-67.658,223.6,3.3 Ml, 75 km al S de Socaire
2022-01-29 17:46:05,2022-01-29 20:46:05,-21.844,-67.388,196.7,4.6 Ml, 113 km al SE de Ollagüe
2022-01-30 07:42:16,2022-01-30 10:42:16,-25.955,-70.085,87.9,4.2 Ml, 49 km al N de Diego de Almagro
2022-01-29 13:49:20,2022-01-29 16:49:20,-23.977,-67.372,215.7,2.6 Ml, 68 km al SE de Socaire
2022-01-29 08:42:13,2022-01-29 11:42:13,-23.978,-67.572,230.0,2.7 Ml, 54 km al SE de Socaire
2022-01-29 05:46:31,2022-01-29 08:46:31,-23.194,-69.908,46.0,3.0 Ml, 17 km al NO de Baquedano
2022-01-29 17:46:05,2022-01-29 20:46:05,-21.953,-67.5,192.0,4.3 Ml, 112 km al SE de Ollagüe
2022-01-29 04:53:21,2022-01-29 07:53:21,-24.195,-67.338,209.4,3.5 Ml, 88 km al SE de Socaire
2022-01-29 04:00:54,2022-01-29 07:00:54,-25.485,-71.133,28.2,3.1 Ml, 66 km al O de Taltal
2022-01-28 23:28:11,2022-01-29 02:28:11,-24.234,-67.617,197.5,3.3 Ml, 77 km al SE de Socaire
2022-01-28 23:15:13,2022-01-29 02:15:13,-23.946,-67.516,221.9,3.2 Ml, 55 km al SE de Socaire
2022-01-28 22:11:08,2022-01-29 01:11:08,-21.809,-68.444,127.4,3.7 Ml, 68 km al S de Ollagüe
2022-01-28 16:35:27,2022-01-28 19:35:27,-23.844,-67.335,240.0,2.9 Ml, 63 km al SE de Socaire
2022-01-28 13:09:54,2022-01-28 16:09:54,-24.056,-67.455,225.0,2.8 Ml, 68 km al SE de Socaire
2022-01-28 12:34:03,2022-01-28 15:34:03,-22.212,-67.795,204.1,2.8 Ml, 89 km al NE de San Pedro de Atacama
2022-01-28 12:08:48,2022-01-28 15:08:48,-25.933,-70.912,36.8,3.1 Ml, 54 km al NO de Chañaral.
2022-01-28 10:32:09,2022-01-28 13:32:09,-21.806,-68.553,125.8,3.0 Ml, 72 km al SO de Ollagüe
2022-01-28 09:52:34,2022-01-28 12:52:34,-22.904,-66.977,285.1,3.2 Ml, 120 km al NE de Socaire
2022-01-28 08:33:28,2022-01-28 11:33:28,-24.138,-68.064,115.4,2.7 Ml, 63 km al S de Socaire
2022-01-28 07:50:16,2022-01-28 10:50:16,-22.341,-68.124,179.2,3.2 Ml, 65 km al N de San Pedro de Atacama
2022-01-28 07:36:01,2022-01-28 10:36:01,-24.097,-69.543,74.4,3.0 Ml, 53 km al O de Mina La Escondida.
2022-01-27 23:11:33,2022-01-28 02:11:33,-22.206,-68.876,115.2,3.0 Ml, 30 km al N de Calama
2022-01-27 20:37:53,2022-01-27 23:37:53,-22.364,-70.607,19.3,3.2 Ml, 51 km al SO de Tocopilla
2022-01-27 18:08:07,2022-01-27 21:08:07,-22.076,-68.946,115.7,3.0 Ml, 44 km al N de Calama
2022-01-27 16:54:55,2022-01-27 19:54:55,-22.124,-68.677,117.2,2.5 Ml, 46 km al NE de Calama
2022-01-27 09:00:28,2022-01-27 12:00:28,-24.945,-69.916,59.3,3.1 Ml, 77 km al NE de Taltal
2022-01-26 23:13:25,2022-01-27 02:13:25,-22.827,-69.063,82.3,2.9 Ml, 27 km al E de Sierra Gorda.
2022-01-26 16:42:54,2022-01-26 19:42:54,-22.798,-68.511,7.9,4.3 Ml, 35 km al O de San Pedro de Atacama
2022-01-26 15:02:15,2022-01-26 18:02:15,-22.603,-69.34,77.3,2.5 Ml, 33 km al N de Sierra Gorda.
2022-01-26 14:15:00,2022-01-26 17:15:00,-23.902,-67.185,244.1,3.5 Ml, 80 km al SE de Socaire
2022-01-26 11:38:33,2022-01-26 14:38:33,-24.079,-69.537,87.0,4.3 Ml, 53 km al O de Mina La Escondida.
2022-01-26 11:19:07,2022-01-26 14:19:07,-24.081,-69.478,85.1,4.3 Ml, 48 km al NO de Mina La Escondida.
2022-01-26 10:22:53,2022-01-26 13:22:53,-24.117,-67.542,223.5,2.9 Ml, 68 km al SE de Socaire
2022-01-26 08:08:51,2022-01-26 11:08:51,-23.62,-68.73,109.2,2.5 Ml, 79 km al NE de Mina La Escondida.
2022-01-26 02:16:22,2022-01-26 05:16:22,-24.085,-67.39,229.8,2.8 Ml, 75 km al SE de Socaire
2022-01-26 16:42:56,2022-01-26 19:42:56,-22.786,-68.812,12.5,4.5 Ml, 37 km al S de Calama
2022-01-25 20:51:34,2022-01-25 23:51:34,-23.947,-67.357,271.0,3.8 Ml, 67 km al SE de Socaire
2022-01-26 11:38:33,2022-01-26 14:38:33,-24.01,-69.428,84.2,4.1 M, 47 km al NO de Mina La Escondida.
2022-01-25 14:48:35,2022-01-25 17:48:35,-22.625,-69.873,45.8,2.7 Ml, 38 km al SO de María Elena
2022-01-26 11:19:07,2022-01-26 14:19:07,-24.008,-69.547,82.6,4.4 Ml, 58 km al NO de Mina La Escondida.
2022-01-25 11:37:06,2022-01-25 14:37:06,-25.419,-70.853,47.9,3.3 Ml, 37 km al O de Taltal
2022-01-25 01:30:16,2022-01-25 04:30:16,-23.085,-68.82,112.6,2.7 Ml, 55 km al E de Sierra Gorda.
2022-01-24 17:19:47,2022-01-24 20:19:47,-21.71,-69.763,84.8,2.5 Ml, 24 km al O de Quillagua
2022-01-24 10:15:32,2022-01-24 13:15:32,-22.888,-68.993,109.6,2.9 Ml, 33 km al E de Sierra Gorda.
2022-01-24 09:44:08,2022-01-24 12:44:08,-22.087,-68.779,129.0,3.1 Ml, 45 km al N de Calama
2022-01-24 05:32:11,2022-01-24 08:32:11,-22.996,-70.569,33.8,2.5 Ml, 17 km al NO de Mejillones
2022-01-24 03:07:24,2022-01-24 06:07:24,-22.017,-68.642,130.6,3.2 Ml, 58 km al NE de Calama
2022-01-23 19:30:39,2022-01-23 22:30:39,-24.28,-67.565,218.0,4.2 Ml, 84 km al SE de Socaire
2022-01-23 13:30:22,2022-01-23 16:30:22,-23.335,-69.573,73.5,3.3 Ml, 27 km al E de Baquedano
2022-01-23 06:36:23,2022-01-23 09:36:23,-24.488,-68.864,114.3,3.2 Ml, 31 km al SE de Mina La Escondida.
2022-01-23 05:49:15,2022-01-23 08:49:15,-23.635,-68.75,113.6,3.4 Ml, 77 km al NE de Mina La Escondida.
2022-01-22 23:54:19,2022-01-23 02:54:19,-24.324,-67.637,222.5,3.5 Ml, 86 km al S de Socaire
2022-01-22 17:03:47,2022-01-22 20:03:47,-22.802,-68.524,10.0,4.0 Ml, 36 km al O de San Pedro de Atacama
2022-01-22 17:00:13,2022-01-22 20:00:13,-22.769,-68.509,16.0,4.6 Mw, 36 km al NO de San Pedro de Atacama
2022-01-22 16:51:32,2022-01-22 19:51:32,-22.79,-68.501,13.2,3.5 Ml, 34 km al NO de San Pedro de Atacama
2022-01-23 19:30:38,2022-01-23 22:30:38,-24.359,-67.389,190.0,4.0 Ml, 100 km al SE de Socaire
2022-01-22 23:54:19,2022-01-23 02:54:19,-24.306,-67.637,220.6,3.4 Ml, 84 km al S de Socaire
